"player_name","player_id","position","date_of_birth"
"James McAtee","1124","Midfielder","2002-10-18"
"Ryan Oné","1125","Midfielder","2006-06-26"
"Rhian Brewster","1126","Forward","2000-04-01"
"Oliver McBurnie","1127","Forward","1996-06-04"
"William Osula","1128","Forward","2003-08-04"
"Daniel Jebbison","1129","Forward","2003-07-11"
"Bénie Traoré","1130","Forward","2002-11-30"
"Cameron Archer","1131","Forward","2001-12-09"
"Hugo Lloris","1132","Goalkeeper","1986-12-26"
"Fraser Forster","1133","Goalkeeper","1988-03-17"
"Brandon Austin","1134","Goalkeeper","1999-01-08"
"Alfie Whiteman","1135","Goalkeeper","1998-10-02"
"Guglielmo Vicario","1136","Goalkeeper","1996-10-07"
"Charlie Sayers","1137","Defender","2004-03-29"
"Emerson Royal","1138","Defender","1999-01-14"
"Eric Dier","1139","Defender","1994-01-15"
"Cristian Romero","1140","Defender","1998-04-27"
"Pedro Porro","1141","Defender","1999-09-13"
"Ben Davies","1142","Defender","1993-04-24"
"Maksim Paskotsi","1143","Defender","2003-01-19"
"Kallum Cesay","1144","Defender","2002-09-04"
"Marqes Muir","1145","Defender","2002-09-21"
"Alfie Dorrington","1146","Defender","2005-04-20"
"Pedro Porro","1147","Defender","1999-09-13"
"Destiny Udogie","1148","Defender","2002-11-28"
"Ashley Phillips","1149","Defender","2005-06-26"
"Micky van de Ven","1150","Defender","2001-04-19"
"Oliver Skipp","1151","Midfielder","2000-09-16"
"Pierre-Emile Højbjerg","1152","Midfielder","1995-08-05"
"Ivan Perisic","1153","Midfielder","1989-02-02"
"Ryan Sessegnon","1154","Midfielder","2000-05-18"
"Dejan Kulusevski","1155","Midfielder","2000-04-25"
"Pape Matar Sarr","1156","Midfielder","2002-09-14"
"Rodrigo Bentancur","1157","Midfielder","1997-06-25"
"Yves Bissouma","1158","Midfielder","1996-08-30"
"Nile John","1159","Midfielder","2003-03-06"
"Matthew Craig","1160","Midfielder","2003-04-16"
"Romaine Mundle","1161","Midfielder","2003-04-24"
"Max Robson","1162","Midfielder","2002-10-17"
"George Abbott","1163","Midfielder","2005-08-17"
"Dejan Kulusevski","1164","Midfielder","2000-04-25"
"James Maddison","1165","Midfielder","1996-11-23"
"Giovani Lo Celso","1166","Midfielder","1996-04-09"
"Son Heung-Min","1167","Forward","1992-07-08"
" Richarlison","1168","Forward","1997-05-10"
"Lucas Moura","1169","Forward","1992-08-13"
"Will Lankshear","1170","Forward","2005-04-20"
"Jamie Donley","1171","Forward","2005-01-03"
"Bryan Gil","1172","Forward","2001-02-11"
"Troy Parrott","1173","Forward","2002-02-04"
"Manor Solomon","1174","Forward","1999-07-24"
"Alejo Véliz","1175","Forward","2003-09-19"
"Brennan Johnson","1176","Forward","2001-05-23"
"Lukasz Fabianski","1177","Goalkeeper","1985-04-18"
"Alphonse Areola","1178","Goalkeeper","1993-02-27"
"Joseph Anang","1179","Goalkeeper",NULL
"Ben Johnson","1180","Defender",NULL
"Aaron Cresswell","1181","Defender","1989-12-15"
"Kurt Zouma","1182","Defender",NULL
"Vladimír Coufal","1183","Defender",NULL
"Angelo Ogbonna","1184","Defender","1988-05-23"
"Thilo Kehrer","1185","Defender","1996-09-21"
"Nayef Aguerd","1186","Defender","1996-03-30"
" Emerson","1187","Defender","1994-08-03"
"Kaelan Casey","1188","Defender","2004-10-28"
"Konstantinos Mavropanos","1189","Defender","1997-12-11"
"Pablo Fornals","1190","Midfielder","1996-02-22"
"Lucas Paquetá","1191","Midfielder","1997-08-27"
"Tomás Soucek","1192","Midfielder","1995-02-27"
"Conor Coventry","1193","Midfielder","2000-03-25"
"Dan Chesters","1194","Midfielder","2002-04-04"
"Edson Álvarez","1195","Midfielder","1997-10-24"
"James Ward-Prowse","1196","Midfielder","1994-11-01"
"Mohammed Kudus","1197","Midfielder","2000-08-02"
"Michail Antonio","1198","Forward","1990-03-28"
"Maxwel Cornet","1199","Forward","1996-09-27"
"Danny Ings","1200","Forward","1992-07-23"
"Jarrod Bowen","1201","Forward","1996-12-20"
"Saïd Benrahma","1202","Forward","1995-08-10"
"Divin Mubama","1203","Forward","2004-10-25"
"Callum Marshall","1204","Forward","2004-11-28"
"José Sá","1205","Goalkeeper","1993-01-17"
"Louie Moulden","1206","Goalkeeper","2002-01-06"
"Dan Bentley","1207","Goalkeeper","1993-07-13"
"Tom King","1208","Goalkeeper","1995-03-09"
"Rayan Aït-Nouri","1209","Defender","2001-06-06"
"Craig Dawson","1210","Defender","1990-05-06"
"Jonny Otto","1211","Defender","1994-03-03"
"Nélson Semedo","1212","Defender","1993-11-16"
"Maximilian Kilman","1213","Defender","1997-05-23"
"Toti Gomes","1214","Defender","1999-01-16"
"Hugo Bueno","1215","Defender","2002-09-18"
"Dexter Lembikisa","1216","Defender",NULL
"Matt Doherty","1217","Defender","1992-01-16"
"Santiago Bueno","1218","Defender","1998-11-09"
"Mario Lemina","1219","Midfielder","1993-09-01"
"Boubacar Traoré","1220","Midfielder","2001-08-20"
"Rúben Neves","1221","Midfielder","1997-03-13"
"Pablo Sarabia","1222","Midfielder","1992-05-11"
"João Gomes","1223","Midfielder","2001-02-12"
"Joe Hodge","1224","Midfielder","2002-09-14"
"Boubacar Traoré","1225","Midfielder","2001-08-20"
"Tommy Doyle","1226","Midfielder","2001-10-17"
"Jean-Ricner Bellegarde","1227","Midfielder","1998-06-27"
"Pedro Neto","1228","Forward","2000-03-09"
"Hwang Hee-Chan","1229","Forward",NULL
"Matheus Cunha","1230","Forward","1999-05-27"
"Sasa Kalajdzic","1231","Forward","1997-07-07"
"Diego Costa","1232","Forward","1988-10-07"
"Nathan Fraser","1233","Forward","2005-02-22"
"Fábio Silva","1234","Forward","2002-07-19"
"Matheus Cunha","1235","Forward","1999-05-27"
"Emilio Ballard-Matthews","1236","Forward","2007-11-30"
"Enso González","1237","Forward","2005-01-20"
"Minh","1275","Goalkeeper","2012-03-01"
